selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,company_name,no_of_years
450000,145500,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,Maruti,8
370000,120000,Diesel,Individual,Manual,Second Owner,21.14,1498.0,103.52,5.0,Skoda,8
158000,140000,Petrol,Individual,Manual,More than 2 owner,17.7,1497.0,78.0,5.0,Honda,16
225000,127000,Diesel,Individual,Manual,First Owner,23.0,1396.0,90.0,5.0,Hyundai,12
130000,120000,Petrol,Individual,Manual,First Owner,16.1,1298.0,88.2,5.0,Maruti,15
440000,45000,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,5.0,Hyundai,5
96000,175000,LPG,Individual,Manual,First Owner,17.3,1061.0,57.5,5.0,Maruti,15
45000,5000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4.0,Maruti,21
350000,90000,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.1,5.0,Toyota,11
200000,169000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.1,5.0,Ford,9
500000,68000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0,Renault,8
92000,100000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5.0,Maruti,17
280000,140000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,5.0,Maruti,13
200000,80000,Petrol,Individual,Manual,Second Owner,19.3,1248.0,0.0,5.0,Maruti,15
180000,90000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5.0,Maruti,13
400000,40000,Petrol,Individual,Manual,First Owner,18.15,1198.0,82.0,5.0,Mahindra,6
778000,70000,Diesel,Individual,Manual,Second Owner,24.52,1248.0,88.5,7.0,Maruti,6
500000,53000,Diesel,Individual,Manual,Second Owner,23.0,1396.0,90.0,5.0,Hyundai,10
150000,80000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0,Maruti,20
680000,100000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,Hyundai,6
174000,100000,Diesel,Individual,Manual,Second Owner,21.0,1461.0,64.1,5.0,Mahindra,11
950000,50000,Diesel,Individual,Manual,First Owner,25.5,1498.0,98.6,5.0,Honda,5
525000,40000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,Maruti,7
600000,72000,Diesel,Individual,Manual,First Owner,21.5,1248.0,88.8,5.0,Maruti,10
500000,35000,Petrol,Individual,Manual,First Owner,20.3,1199.0,83.81,5.0,Tata,4
575000,45000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,Maruti,6
275000,28000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5.0,Maruti,5
300000,70000,Diesel,Individual,Manual,First Owner,18.2,1248.0,73.8,7.0,Chevrolet,9
220000,120000,Petrol,Individual,Manual,First Owner,18.9,1061.0,67.0,5.0,Maruti,13
254999,25000,Petrol,Individual,Manual,First Owner,16.8,796.0,34.2,8.0,Maruti,4
670000,70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,Maruti,5
70000,50000,Petrol,Individual,Manual,Second Owner,19.3,1248.0,0.0,5.0,Fiat,19
