selling_price,km_driven,mileage,engine,max_power,seats,no_of_years,fuel_Diesel,fuel_LPG,fuel_Petrol,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Manual,owner_More than 2 owner,owner_Second Owner
450000,145500,23.4,1248.0,74.0,5.0,8,1,0,0,1,0,1,0,0
370000,120000,21.14,1498.0,103.52,5.0,8,1,0,0,1,0,1,0,1
158000,140000,17.7,1497.0,78.0,5.0,16,0,0,1,1,0,1,1,0
225000,127000,23.0,1396.0,90.0,5.0,12,1,0,0,1,0,1,0,0
130000,120000,16.1,1298.0,88.2,5.0,15,0,0,1,1,0,1,0,0
440000,45000,20.14,1197.0,81.86,5.0,5,0,0,1,1,0,1,0,0
96000,175000,17.3,1061.0,57.5,5.0,15,0,1,0,1,0,1,0,0
45000,5000,16.1,796.0,37.0,4.0,21,0,0,1,1,0,1,0,1
350000,90000,23.59,1364.0,67.1,5.0,11,1,0,0,1,0,1,0,0
200000,169000,20.0,1399.0,68.1,5.0,9,1,0,0,1,0,1,0,0
500000,68000,19.01,1461.0,108.45,5.0,8,1,0,0,1,0,1,0,1
92000,100000,17.3,993.0,60.0,5.0,17,0,0,1,1,0,1,0,1
280000,140000,19.3,1248.0,73.9,5.0,13,1,0,0,1,0,1,0,1
200000,80000,19.3,1248.0,0.0,5.0,15,0,0,1,1,0,1,0,1
180000,90000,18.9,1061.0,67.0,5.0,13,0,0,1,1,0,1,0,1
400000,40000,18.15,1198.0,82.0,5.0,6,0,0,1,1,0,1,0,0
778000,70000,24.52,1248.0,88.5,7.0,6,1,0,0,1,0,1,0,1
500000,53000,23.0,1396.0,90.0,5.0,10,1,0,0,1,0,1,0,1
150000,80000,19.7,796.0,46.3,5.0,20,0,0,1,1,0,1,0,1
680000,100000,22.54,1396.0,88.73,5.0,6,1,0,0,1,0,1,0,0
174000,100000,21.0,1461.0,64.1,5.0,11,1,0,0,1,0,1,0,1
950000,50000,25.5,1498.0,98.6,5.0,5,1,0,0,1,0,1,0,0
525000,40000,26.59,1248.0,74.0,5.0,7,1,0,0,1,0,1,0,0
600000,72000,21.5,1248.0,88.8,5.0,10,1,0,0,1,0,1,0,0
500000,35000,20.3,1199.0,83.81,5.0,4,0,0,1,1,0,1,0,0
575000,45000,21.4,1197.0,83.1,5.0,6,0,0,1,1,0,1,0,0
275000,28000,24.7,796.0,47.3,5.0,5,0,0,1,1,0,1,0,0
300000,70000,18.2,1248.0,73.8,7.0,9,1,0,0,1,0,1,0,0
220000,120000,18.9,1061.0,67.0,5.0,13,0,0,1,1,0,1,0,0
254999,25000,16.8,796.0,34.2,8.0,4,0,0,1,1,0,1,0,0
670000,70000,24.3,1248.0,88.5,5.0,5,1,0,0,1,0,1,0,0
70000,50000,19.3,1248.0,0.0,5.0,19,0,0,1,1,0,1,0,1
150000,35000,14.0,796.0,35.0,5.0,10,0,0,1,1,0,1,0,1
730000,2388,18.6,1197.0,81.83,5.0,4,0,0,1,1,0,1,0,0
650000,16200,24.3,1248.0,88.5,5.0,5,1,0,0,1,0,1,0,0
330000,10000,33.44,796.0,40.3,4.0,3,0,0,0,1,0,1,0,1
366000,15000,23.95,998.0,67.1,5.0,3,0,0,1,1,0,1,0,0
1149000,5000,17.0,1591.0,121.3,5.0,3,0,0,1,1,0,1,0,0
150000,42000,20.63,1198.0,67.0,5.0,6,0,0,1,1,0,1,0,0
425000,60000,13.93,2179.0,138.03,7.0,11,1,0,0,1,0,1,0,1
150000,76000,16.1,796.0,37.0,4.0,10,0,0,1,1,0,1,0,0
2100000,5000,16.0,1368.0,160.77,5.0,3,0,0,1,1,0,0,0,0
925000,28900,17.8,1497.0,117.3,5.0,4,0,0,1,0,0,1,0,0
425000,86300,16.8,1497.0,116.3,5.0,9,0,0,1,0,0,1,0,0
675000,23300,18.5,1197.0,83.14,5.0,4,0,0,1,0,0,0,0,0
819999,32600,24.3,1248.0,88.5,5.0,4,1,0,0,0,0,1,0,0
390000,10300,23.95,998.0,67.05,5.0,4,0,0,1,0,0,1,0,0
1500000,77000,12.55,2982.0,168.5,7.0,8,1,0,0,0,0,1,0,0
700000,99000,12.99,2494.0,100.0,7.0,9,1,0,0,0,0,1,0,0
1450000,27800,14.8,2143.0,120.7,5.0,8,1,0,0,0,0,0,0,1
425000,49800,24.7,1498.0,98.63,5.0,7,1,0,0,0,0,1,0,0
1090000,151000,13.5,2477.0,175.56,7.0,9,1,0,0,0,0,1,0,0
600000,54700,26.0,1498.0,98.6,5.0,7,1,0,0,0,0,1,0,0
850000,64000,20.65,1462.0,103.25,5.0,4,0,0,1,0,0,1,0,0
525000,63000,27.3,1498.0,98.6,5.0,7,1,0,0,0,0,1,0,0
1650000,127700,11.36,2755.0,171.5,7.0,6,1,0,0,0,0,0,0,1
950000,99000,12.99,2494.0,100.6,7.0,6,1,0,0,0,0,1,0,0
1750000,33900,17.68,1968.0,174.33,5.0,9,1,0,0,0,0,0,0,1
1590000,25000,14.28,1798.0,138.03,5.0,4,0,0,1,0,0,0,0,0
1689999,50000,18.53,1968.0,187.74,5.0,9,1,0,0,0,0,0,0,0
1425000,59000,14.84,2143.0,170.0,5.0,9,1,0,0,0,0,0,0,0
265000,120000,21.12,1248.0,88.8,5.0,11,1,0,0,1,0,1,0,0
190000,110000,20.36,1197.0,78.9,5.0,11,0,0,1,1,0,1,1,0
425000,60000,21.27,1396.0,88.76,5.0,9,1,0,0,1,0,1,0,0
630000,147000,26.59,1248.0,74.0,5.0,7,1,0,0,1,0,1,0,1
600000,25000,18.16,1196.0,86.8,5.0,5,0,0,1,1,0,1,1,0
650000,30000,21.4,1197.0,83.1,5.0,3,0,0,1,1,0,1,0,0
540000,40000,22.0,1498.0,108.495,5.0,6,1,0,0,1,0,1,0,0
630000,135000,25.1,1498.0,98.6,5.0,7,1,0,0,1,0,1,0,0
448000,30000,20.51,998.0,67.0,5.0,4,0,0,1,1,0,0,0,0
500000,80000,21.66,1498.0,108.62,5.0,5,1,0,0,1,0,1,0,0
745000,70000,24.3,1248.0,88.5,5.0,6,1,0,0,1,0,1,0,0
1025000,9850,24.3,1248.0,88.5,5.0,3,1,0,0,1,0,0,0,0
235000,60000,20.36,1197.0,78.9,5.0,11,0,0,1,1,0,1,0,1
630000,70000,25.2,1248.0,74.0,5.0,6,1,0,0,1,0,1,0,0
1700000,78000,12.55,2982.0,168.5,7.0,7,1,0,0,1,0,1,0,1
450000,120000,22.9,1248.0,74.0,5.0,9,1,0,0,1,0,1,0,1
450000,120000,16.02,1373.0,93.7,7.0,10,0,0,1,1,0,1,0,1
50000,70000,19.3,1248.0,0.0,5.0,19,1,0,0,1,0,1,0,0
450000,170000,20.54,1598.0,103.6,5.0,9,1,0,0,1,0,1,0,0
1200000,140000,12.99,2494.0,100.6,8.0,6,1,0,0,1,0,1,0,0
610000,90000,22.77,1498.0,98.59,5.0,7,1,0,0,1,0,1,0,0
2500000,30000,15.71,1998.0,189.0,5.0,6,0,0,1,1,0,0,0,1
484999,10000,23.1,998.0,67.04,5.0,5,0,0,1,0,0,1,0,0
275000,49000,19.02,1198.0,67.05,5.0,6,0,0,1,0,0,1,0,0
315000,32000,24.7,796.0,47.3,5.0,6,0,0,1,0,0,1,0,0
275000,38000,24.7,796.0,47.3,5.0,6,0,0,1,0,0,1,0,0
475000,78000,19.3,1248.0,0.0,5.0,7,1,0,0,0,0,1,0,0
290000,28000,19.81,1086.0,68.05,5.0,10,0,0,1,0,0,1,0,0
280000,32000,14.0,796.0,35.0,5.0,5,0,0,1,0,0,1,0,0
225000,44000,26.2,998.0,58.2,5.0,12,0,1,0,0,0,1,0,0
455000,42000,16.47,1198.0,74.0,5.0,7,0,0,1,0,0,1,0,0
351000,45000,19.81,1086.0,68.05,5.0,7,0,0,1,0,0,1,0,1
535000,12000,15.04,1598.0,103.6,5.0,10,0,0,1,0,0,1,0,1
175000,55500,18.2,998.0,67.1,5.0,13,0,0,1,0,0,1,0,0
525000,61500,18.5,1197.0,82.85,5.0,9,0,0,1,0,0,1,0,0
600000,150000,26.59,1248.0,74.0,5.0,6,1,0,0,1,0,1,0,0
565000,72000,19.1,1197.0,82.0,5.0,6,0,0,1,0,0,0,0,0
120000,68000,19.7,796.0,46.3,5.0,14,0,0,1,0,0,1,1,0
725000,110000,22.54,1396.0,88.73,5.0,5,1,0,0,1,0,1,0,0
185000,77000,21.79,998.0,67.05,5.0,13,0,0,1,0,0,1,0,1
200000,100000,18.8,1248.0,90.0,5.0,12,1,0,0,1,0,1,0,1
615000,10000,21.21,1197.0,81.8,5.0,3,0,0,1,1,0,1,0,0
270000,100000,15.37,1196.0,73.0,7.0,6,0,0,1,1,0,1,1,0
610000,35000,21.4,1197.0,83.1,5.0,4,0,0,1,1,0,1,0,0
625000,70000,11.79,2179.0,120.0,8.0,8,1,0,0,1,0,0,0,1
400000,5000,19.0,1194.0,94.68,5.0,2,0,0,1,1,0,1,0,1
866000,37800,17.0,1591.0,121.3,5.0,5,0,0,1,1,0,1,0,0
700000,114000,14.3,1798.0,160.0,5.0,12,0,0,1,1,0,1,0,0
300000,48000,15.8,1172.0,65.0,5.0,12,0,0,1,1,0,1,0,0
1700000,32000,15.1,2179.0,155.0,7.0,3,1,0,0,1,0,1,0,0
375000,100000,19.09,1405.0,69.01,5.0,6,1,0,0,1,0,1,0,0
522000,150000,22.32,1582.0,126.32,5.0,9,1,0,0,1,0,1,0,1
451999,69000,21.9,1396.0,88.76,5.0,9,1,0,0,1,0,1,0,0
300000,100000,14.53,1798.0,138.1,5.0,13,0,0,1,1,0,1,0,1
475000,13000,21.63,998.0,67.04,5.0,2,0,0,1,1,0,1,0,0
780000,60000,24.3,1248.0,88.5,5.0,6,1,0,0,1,0,1,0,0
595000,40000,20.85,1197.0,83.14,5.0,5,0,0,1,1,0,1,0,0
440000,35000,20.51,998.0,67.04,5.0,5,0,0,1,1,0,1,0,0
300000,120000,19.3,1248.0,0.0,5.0,12,1,0,0,1,0,1,0,1
400000,70000,20.45,1461.0,83.8,5.0,8,1,0,0,1,0,1,1,0
1140000,50000,19.67,1582.0,126.2,5.0,6,1,0,0,1,0,1,0,0
850000,76139,23.0,1498.0,98.96,5.0,5,1,0,0,1,0,1,0,0
370000,175000,19.3,1248.0,73.9,5.0,10,1,0,0,1,0,1,1,0
350000,25000,23.01,999.0,67.0,5.0,4,0,0,1,1,0,1,0,0
360000,40000,23.1,998.0,67.04,5.0,7,0,0,1,1,0,1,0,1
105000,65000,19.7,796.0,46.3,5.0,14,0,0,1,1,0,1,1,0
625000,90000,20.77,1248.0,88.76,7.0,9,1,0,0,1,0,1,0,1
135000,80000,17.92,1086.0,62.1,5.0,13,0,0,1,1,0,1,0,1
700000,110000,20.77,1248.0,88.76,7.0,7,1,0,0,1,0,1,0,1
690000,1303,17.8,1198.0,86.7,5.0,3,0,0,1,0,0,1,0,0
3975000,31800,17.01,1968.0,188.0,5.0,4,1,0,0,0,0,0,0,0
5150000,20000,22.37,2487.0,214.56,5.0,3,0,0,1,0,0,0,0,0
3200000,45000,19.33,1999.0,177.0,5.0,5,1,0,0,0,0,0,0,0
4100000,17000,9.5,3604.0,280.0,5.0,5,0,0,1,1,0,0,0,0
4500000,21000,12.83,1999.0,148.31,7.0,3,1,0,0,0,0,0,0,0
6000000,37000,13.5,2987.0,254.79,5.0,5,1,0,0,0,0,0,0,0
3790000,29500,22.48,1995.0,187.74,5.0,4,1,0,0,0,0,0,0,0
2150000,27000,19.3,1248.0,0.0,5.0,5,1,0,0,0,0,0,0,0
5800000,7500,16.78,1995.0,190.0,5.0,3,1,0,0,0,0,0,0,0
1864999,50000,14.67,1798.0,177.46,5.0,4,0,0,1,0,0,0,0,0
2700000,35000,15.0,2143.0,204.0,5.0,6,1,0,0,0,0,0,0,0
1750000,19000,13.96,1451.0,141.0,5.0,3,0,0,1,0,0,0,0,0
795000,41000,18.0,1497.0,117.6,5.0,5,0,0,1,0,0,0,0,0
625000,39000,14.28,1798.0,138.03,5.0,9,0,0,1,0,0,0,0,0
3400000,22000,18.0,1969.0,190.0,5.0,4,1,0,0,0,0,0,0,0
2650000,53000,12.07,2967.0,241.4,7.0,7,1,0,0,0,0,0,0,0
535000,40000,26.21,1248.0,88.5,5.0,7,1,0,0,0,0,1,0,0
5850000,47000,13.5,2987.0,282.0,5.0,5,1,0,0,0,0,0,0,0
975000,72200,10.8,2497.0,150.0,5.0,12,0,0,1,0,0,0,0,1
805000,49900,16.3,1797.0,147.5,5.0,6,0,0,1,0,0,1,0,0
2625000,9000,13.6,1999.0,177.0,5.0,5,1,0,0,0,0,0,0,0
811000,11000,17.0,1198.0,108.5,5.0,4,0,0,1,0,0,1,0,0
375000,49000,15.04,1598.0,103.6,5.0,11,0,0,1,1,0,1,0,0
550000,95000,16.3,1797.0,147.5,5.0,10,0,0,1,1,0,1,0,0
645000,11000,14.3,1598.0,103.5,5.0,6,0,0,1,0,0,0,0,0
2550000,18000,15.04,1991.0,183.0,5.0,4,0,0,1,0,0,0,0,0
599000,46100,16.02,1373.0,93.7,7.0,8,0,0,1,0,0,1,0,0
2700000,16000,14.74,1991.0,181.04,5.0,5,0,0,1,0,0,0,0,0
875000,18000,15.6,1497.0,116.3,5.0,5,0,0,1,0,0,0,0,0
894999,9654,19.56,1197.0,81.8,5.0,3,0,0,1,0,0,0,0,0
175000,11000,23.95,998.0,67.05,5.0,11,0,0,1,0,0,1,0,0
340000,24300,21.21,1197.0,81.8,5.0,10,0,0,1,0,0,1,0,0
1525000,42163,11.36,2755.0,171.5,7.0,6,1,0,0,0,0,0,0,1
1025000,8000,21.5,1497.0,108.5,5.0,4,1,0,0,0,0,0,0,0
2150000,30000,22.69,1995.0,190.0,5.0,6,1,0,0,0,0,0,0,0
1900000,41000,19.16,2494.0,157.7,5.0,6,0,0,1,0,0,0,0,0
2900000,12000,18.12,1995.0,190.0,5.0,6,1,0,0,0,0,0,0,0
450000,71000,12.1,2362.0,164.7,5.0,13,0,0,1,0,0,0,0,0
850000,20000,17.5,1373.0,91.1,7.0,6,0,0,1,1,0,1,0,0
10000000,30000,42.0,1969.0,400.0,4.0,5,0,0,1,1,0,0,0,0
300000,100000,20.54,1598.0,103.6,5.0,11,1,0,0,1,0,1,0,1
575000,9500,18.16,1196.0,86.8,5.0,4,0,0,1,1,0,1,0,0
160000,120000,20.0,1399.0,68.0,5.0,11,1,0,0,1,0,1,0,0
515000,36600,20.4,1197.0,81.8,5.0,7,0,0,1,1,0,1,0,0
390000,50000,20.51,998.0,67.0,5.0,7,0,0,1,1,0,0,0,1
550000,14000,18.6,1197.0,81.83,5.0,6,0,0,1,1,0,1,0,1
40000,40000,16.1,796.0,37.0,4.0,23,0,0,1,1,0,1,0,1
220000,120000,21.1,1248.0,73.9,5.0,12,1,0,0,1,0,1,0,0
425000,70000,18.9,1197.0,82.0,5.0,7,0,0,1,1,0,1,0,0
480000,13000,19.44,999.0,75.0,5.0,3,0,0,1,1,0,1,0,0
400000,60000,18.9,1197.0,82.0,5.0,8,0,0,1,1,0,1,0,1
487000,35000,19.1,1197.0,85.8,5.0,8,0,0,1,1,0,1,0,0
386000,44000,19.1,1197.0,82.0,5.0,6,0,0,1,1,0,1,0,1
100000,120000,13.0,1493.0,100.0,5.0,17,0,0,1,1,0,1,0,1
300000,60000,21.43,1364.0,87.2,5.0,12,1,0,0,1,0,1,0,0
100000,60000,18.5,796.0,53.0,5.0,22,0,0,1,1,0,1,0,0
1750000,30000,13.0,2982.0,168.5,7.0,8,1,0,0,1,0,1,0,1
450000,15000,18.15,1198.0,82.0,6.0,6,0,0,1,1,0,1,0,1
490000,90000,22.95,1248.0,74.0,5.0,5,1,0,0,1,0,1,0,0
345000,47000,17.0,1497.0,118.0,5.0,13,0,0,1,1,0,1,0,1
85000,90000,17.3,993.0,60.0,5.0,17,0,0,1,1,0,1,0,0
215000,120600,18.9,998.0,67.1,5.0,12,0,0,1,1,0,1,0,1
320000,100000,16.2,1599.0,103.2,5.0,12,0,0,1,1,0,1,1,0
459999,60000,20.85,1197.0,83.14,5.0,6,0,0,1,1,0,1,0,1
65000,86000,15.3,1341.0,83.0,5.0,17,0,0,1,1,0,1,0,0
720000,5000,18.6,1197.0,81.86,5.0,2,0,0,1,1,0,1,0,0
800000,37000,28.09,1248.0,88.5,5.0,5,1,0,0,1,0,1,0,0
520000,14000,20.3,1199.0,84.0,5.0,3,0,0,1,1,0,1,0,0
580000,70000,20.77,1248.0,88.76,7.0,7,1,0,0,1,0,1,0,0
235000,120000,19.3,1248.0,0.0,5.0,10,1,0,0,1,0,1,0,0
600000,50000,17.4,1497.0,117.3,5.0,7,0,0,1,1,0,1,0,0
290000,60000,19.4,1198.0,86.8,5.0,8,0,0,1,1,0,1,0,1
360000,50000,26.6,998.0,58.16,5.0,6,0,0,0,1,0,1,0,0
550000,50000,20.85,1197.0,83.14,5.0,5,0,0,1,1,0,1,0,0
375000,70000,18.5,1197.0,82.85,5.0,9,0,0,1,1,0,1,0,0
40000,90000,19.3,1248.0,0.0,5.0,19,0,0,1,1,0,1,0,1
420000,35000,20.51,998.0,67.0,5.0,4,0,0,1,1,0,0,0,0
550000,20000,21.21,1197.0,81.8,5.0,5,0,0,1,1,0,1,0,0
270000,20000,24.7,796.0,47.3,5.0,4,0,0,1,1,0,1,0,0
700000,7800,22.0,1197.0,81.8,5.0,4,0,0,1,1,0,0,0,0
500000,20000,20.4,1197.0,81.8,5.0,5,0,0,1,1,0,1,0,0
1250000,15000,17.6,2179.0,147.94,7.0,3,1,0,0,1,0,1,0,0
320000,31377,18.5,1197.0,82.85,5.0,9,0,0,1,1,0,1,0,1
700000,50000,28.4,1248.0,74.02,5.0,4,1,0,0,1,0,1,0,0
290000,60000,20.51,998.0,67.04,5.0,7,0,0,1,1,0,1,0,0
550000,100000,14.53,1794.0,138.1,5.0,10,0,0,1,1,0,0,0,0
265000,60000,19.4,1198.0,86.8,5.0,10,0,0,1,1,0,1,0,0
830000,5000,21.4,1197.0,83.1,5.0,4,0,0,1,1,0,0,0,0
800000,60000,14.1,2179.0,147.94,7.0,5,1,0,0,1,0,1,0,0
160000,25000,19.7,796.0,46.3,5.0,11,0,0,1,1,0,1,0,1
335000,30000,25.17,799.0,53.3,5.0,4,0,0,1,1,0,1,0,0
329000,80000,20.63,1198.0,67.0,5.0,5,0,0,1,1,0,1,0,1
775000,75000,24.3,1248.0,88.5,5.0,5,1,0,0,1,0,1,0,0
524000,32000,20.14,1197.0,81.86,5.0,2,0,0,1,1,0,1,0,0
245000,40000,22.74,796.0,47.3,5.0,7,0,0,1,1,0,1,0,0
275000,93000,17.0,1197.0,80.0,5.0,10,0,0,1,1,0,1,0,1
520000,60000,17.57,1193.0,88.7,5.0,4,0,0,1,1,0,1,0,0
130000,120000,19.3,1248.0,0.0,5.0,14,0,0,1,1,0,1,0,1
550000,37000,16.95,1498.0,97.7,5.0,8,0,0,1,1,0,1,0,0
910000,15000,17.0,1497.0,121.36,5.0,4,0,0,1,1,0,1,0,0
300000,80000,19.49,1198.0,67.04,5.0,7,0,0,1,1,0,1,0,0
350000,140000,20.51,998.0,67.04,5.0,6,0,0,1,1,0,1,0,0
900000,70000,12.83,2696.0,162.0,7.0,9,1,0,0,1,0,1,0,0
300000,120000,17.21,1493.0,100.0,7.0,9,1,0,0,1,0,1,0,1
250000,110000,21.1,1248.0,73.9,5.0,12,1,0,0,1,0,1,0,1
1100000,37000,19.67,1582.0,126.2,5.0,5,1,0,0,1,0,1,0,0
